"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12925","id:C202 - Authorization with valid phone and password","","Mon Oct 28 12:47:16 UTC 2024","passed","Mon Oct 28 12:47:29 UTC 2024","","Authorization with valid phone and password","",""
"","9240","id:C576 - Authorization with invalid email","","Mon Oct 28 12:47:15 UTC 2024","passed","Mon Oct 28 12:47:24 UTC 2024","","Authorization with invalid email","",""
"","11664","id:C226 - Verify ""У Вас залишилися питання?"" form","","Mon Oct 28 12:47:15 UTC 2024","passed","Mon Oct 28 12:47:27 UTC 2024","","Verify ""У Вас залишилися питання?"" form","",""
"","707","id:C384 - Verify same images uploading","","Mon Oct 28 12:48:29 UTC 2024","broken","Mon Oct 28 12:48:30 UTC 2024","","Verify same images uploading","",""
"","25874","id:C593 - Verify image uploading","","Mon Oct 28 12:48:26 UTC 2024","passed","Mon Oct 28 12:48:52 UTC 2024","","Verify image uploading","",""
"","4286","id:C393 - Verify """"Далі"""" button","","Mon Oct 28 12:48:28 UTC 2024","passed","Mon Oct 28 12:48:32 UTC 2024","","Verify """"Далі"""" button","",""
"","8668","id:C299 - Verify model name input field","","Mon Oct 28 12:47:42 UTC 2024","passed","Mon Oct 28 12:47:51 UTC 2024","","Verify model name input field","",""
"","1","Verify """"Назад"""" button","","Mon Oct 28 12:48:42 UTC 2024","skipped","Mon Oct 28 12:48:42 UTC 2024","","id:C488 - Verify """"Назад"""" button","",""
"","5","Verify """"Спосіб оплати"""" section","","Mon Oct 28 12:48:48 UTC 2024","skipped","Mon Oct 28 12:48:48 UTC 2024","","id:C417 - Verify """"Спосіб оплати"""" section","",""
"","84415","id:C296 - Verify category (Категорія) section.","","Mon Oct 28 12:47:40 UTC 2024","passed","Mon Oct 28 12:49:05 UTC 2024","","Verify category (Категорія) section","",""
